x,y
2.249,0.4591
9.167,0.6682
2.882,0.6909
7.184,0.6803
3.599,0.642
1.642,0.6268
2.395,0.5215
8.656,0.625
6.369,0.6473
5.723,0.6835
8.51,0.6355
6.324,0.671
7.725,0.6398
5.921,0.6053
6.739,0.6819
9.674,0.6239
6.94,0.5966
9.798,0.6771
6.344,0.6616
2.429,0.541
9.063,0.6589
8.292,0.6272
0.335,0.3903
7.318,0.6312
1.815,0.5397
7.447,0.6002
3.626,0.6568
0.94,0.6945
0.513,0.5065
3.784,0.6923
1.205,0.7374
2.453,0.5554
5.134,0.6834
5.716,0.6823
4.895,0.5655
0.668,0.5882
1.075,0.7254
2.123,0.4434
6.191,0.6626
7.613,0.6801
2.244,0.4579
6.192,0.6631
5.52,0.5826
6.366,0.6486
5.131,0.6828
2.238,0.4562
1.036,0.7183
6.205,0.6696
4.348,0.6233
3.346,0.5175
0.623,0.5663
4.381,0.6433
0.771,0.6343
5.257,0.6624
1.475,0.6953
3.136,0.5645
1.087,0.7273
0.724,0.6144
5.775,0.6814
3.746,0.6934
1.39,0.7188
8.958,0.6072
3.593,0.6384
8.377,0.6744
1.27,0.7358
7.867,0.6066
6.513,0.5855
9.082,0.6684
5.486,0.573
2.162,0.4441
0.364,0.4109
8.728,0.6682
0.292,0.3567
4.382,0.6437
3.362,0.5205
1.034,0.7179
0.013,0.026
9.512,0.664
4.486,0.6867
9.357,0.6302
7.007,0.5948
7.671,0.67
8.642,0.6173
2.991,0.6458
0.908,0.6847
9.646,0.6132
2.934,0.673
0.358,0.407
3.001,0.6406
0.732,0.618
4.791,0.5699
8.409,0.6794
1.18,0.7366
6.651,0.6469
9.555,0.6375
3.947,0.6247
7.759,0.6189
2.283,0.4699
9.82,0.6717
1.162,0.7355
2.361,0.5036
6.341,0.6627
9.683,0.6291
4.043,0.5707
3.102,0.5829
3.849,0.6754
3.529,0.5993
4.314,0.6016
3.249,0.5205
4.367,0.6348
1.508,0.6841
5.065,0.6561
6.077,0.5956
8.385,0.6766
9.864,0.648
9.197,0.6519
8.834,0.6599
8.496,0.6441
8.269,0.6147
4.936,0.5803
9.363,0.6334
7.847,0.6007
1.529,0.676
0.673,0.591
0.5,0.4992
0.705,0.6055
9.742,0.6647
6.237,0.6801
3.083,0.5941
1.871,0.5127
0.835,0.6596
7.95,0.6547
7.799,0.6022
3.572,0.6258
9.699,0.6387
5.355,0.6049
0.118,0.1849
0.679,0.5935
1.284,0.7347
7.914,0.6316
5.404,0.5813
1.401,0.7163
4.035,0.5743
4.708,0.6112
4.776,0.5754
1.628,0.6335
3.524,0.5963
1.417,0.7122
1.545,0.67
0.751,0.6263
7.494,0.6222
9.754,0.6703
7.564,0.6647
7.2,0.6814
7.279,0.6554
3.113,0.5769
2.977,0.653
1.148,0.7345
9.747,0.6671
6.199,0.6667
3.014,0.6337
3.559,0.618
5.094,0.6706
1.982,0.4687
1.257,0.7365
6.14,0.6326
0.613,0.5612
6.876,0.6284
7.014,0.5966
1.768,0.5635
5.378,0.5925
9.639,0.6118
3.394,0.5297
4.372,0.638
7.71,0.6492
9.377,0.6427
2.196,0.4478
2.877,0.6922
4.395,0.6512
4.707,0.612
1.025,0.7159
2.167,0.4445
5.505,0.5773
8.056,0.675
5.725,0.6838
8.269,0.6147
2.672,0.6764
5.725,0.6838
8.933,0.6085
1.911,0.4951
0.72,0.6127
2.429,0.5411
0.897,0.6812
0.339,0.3928
1.475,0.6955
8.485,0.6513
4.405,0.6569
4.724,0.6014
2.036,0.4543
5.623,0.6405
