x0,x1,y
4.46,1.24,-0.2505
3.1,9.59,-0.0697
4.55,7.37,-0.1423
2.55,9.63,-0.0336
4.55,6.99,-0.0903
1.48,1.09,0.1291
7.35,2.9,0.1106
1.04,9.82,0.1556
5.84,4.37,-0.0667
9.23,6.61,-0.0451
2.42,2.51,0.253
5.2,6.07,-0.1133
0.11,5.86,0.0419
5.82,4.57,-0.0251
5.68,0.25,-0.0275
6.23,1.34,-0.1024
5.88,9.02,-0.0806
0.56,1.71,-0.1424
9.4,9.57,0.0382
6.68,1.57,-0.0646
1.22,2.05,0.0918
5.68,7.9,0.0212
8.96,0.18,0.0856
3.67,4.62,0.0361
0.96,2.63,0.3954
1.59,4.45,0.0021
2.49,9.42,0.0113
3.55,0.44,-0.0367
3.1,4.86,-0.0754
8.94,5.95,0.0631
3.68,3.38,-0.1343
8.6,0.78,0.0561
8.44,8.1,0.0042
9.19,7.37,-0.0329
7.63,2.23,0.0872
7.29,9.1,0.019
1.71,6.87,0.0072
4.25,8.94,-0.058
8.63,2.56,0.1345
6.17,8.07,-0.021
2.79,8.02,-0.0179
4.53,2.27,-0.1122
1.79,6.95,0.0482
6.18,6.67,0.0276
6.57,7.41,0.0696
1.82,9.55,0.1586
7.42,3.55,0.133
8.54,5.33,-0.0071
1.55,7.42,0.0609
8.51,8.61,0.0017
7.14,5.24,0.1312
9.59,3.72,0.0442
2.56,9.01,0.0885
5.01,1.91,-0.2241
5.5,7.07,-0.0906
3.5,3.76,0.0204
1.17,9.74,-0.0026
7.86,0.49,0.1243
0.2,8.33,0.0989
8.48,6.97,0.1019
6.39,5.99,0.0567
2.39,3.19,-0.0406
5.77,5.65,0.0396
7.55,9.49,0.0006
9.32,0.13,0.054
0.39,0.32,0.4059
7.24,5.18,0.0618
0.55,4.24,0.2627
7.1,3.27,-0.0222
4.64,7.51,-0.0077
4.81,3.61,-0.0051
6.18,2.47,0.0664
8.71,9.7,0.0468
5.59,5.89,-0.1178
7.0,5.37,-0.0181
9.09,4.48,-0.041
6.78,0.11,0.1204
4.67,3.58,-0.0171
