x,y
11.533,10.1434
7.45,8.5601
13.476,9.828
5.594,5.1884
11.324,11.5638
6.814,4.7758
10.393,9.0408
11.684,8.8644
1.599,3.4183
13.799,13.0287
4.856,7.0917
4.362,6.2888
7.282,7.6107
8.882,5.3056
1.029,2.5415
13.803,13.0563
9.779,4.2361
8.454,8.0935
2.845,3.065
12.007,6.0201
8.96,4.8154
10.735,11.5312
3.295,2.8229
7.878,9.8941
7.624,9.3435
4.142,5.5512
2.945,2.8778
12.806,3.7451
3.151,2.5184
1.056,2.5801
6.343,2.6913
7.088,6.4038
13.77,12.7852
6.107,3.0895
2.354,3.7464
1.097,2.6418
11.094,12.3394
11.802,7.8118
3.088,2.6035
6.327,2.64
10.366,8.8142
10.758,11.6513
11.656,9.1086
2.127,3.8328
13.885,13.6645
1.027,2.5376
9.859,4.7499
1.324,2.9977
13.744,12.5498
5.453,5.7583
0.728,2.1716
9.297,3.0215
7.211,7.172
2.097,3.8312
9.412,2.5493
1.924,3.7645
4.372,6.3182
5.635,5.0134
0.844,2.2978
3.671,3.8743
3.33,2.9061
7.327,7.876
9.226,3.3513
12.383,3.3965
5.863,4.0457
9.109,3.9472
6.092,3.1442
8.438,8.1833
10.04,6.0708
11.864,7.2541
1.367,3.0656
11.784,7.9686
6.88,5.1467
10.211,7.4858
13.433,9.3594
6.264,2.5604
7.673,9.511
6.172,2.8606
13.29,7.8327
5.836,4.1589
8.635,6.935
13.352,8.4895
13.483,9.9
11.577,9.7857
0.717,2.1614
10.888,12.1688
7.058,6.2218
13.848,13.403
6.045,3.3188
13.354,8.5107
2.312,3.7752
3.671,3.8745
0.792,2.238
2.047,3.8217
9.597,3.2359
1.362,3.058
6.309,2.579
8.669,6.7142
0.682,2.129
8.154,9.5154
7.394,8.2618
10.526,10.1331
9.335,2.8573
6.466,3.1357
1.147,2.7168
5.753,4.5101
11.042,12.3752
10.14,6.8821
0.647,2.0983
6.857,5.0152
3.103,2.5734
13.05,5.5402
6.935,5.4697
8.724,6.3454
11.086,12.3482
13.899,13.7528
4.48,6.6151
9.97,5.5349
11.779,8.0118
3.171,2.557
7.777,9.7727
4.089,5.3583
13.516,10.2526
4.378,6.3354
13.769,12.7713
4.117,5.4583
1.576,3.3854
1.974,3.7937
13.035,5.4156
0.645,2.0969
5.387,6.0073
1.993,3.8026
7.485,8.7398
4.734,7.0464
10.974,12.3407
0.769,2.2137
10.773,11.7283
3.546,3.4849
0.89,2.3535
9.814,4.4542
0.615,2.0735
8.041,9.7934
13.93,13.9397
6.009,3.4538
12.927,4.5667
9.848,4.6769
12.365,3.4946
1.909,3.7541
0.854,2.3097
0.314,1.9695
1.808,3.6693
1.919,3.7613
12.97,4.8888
1.11,2.6601
1.827,3.6877
10.769,11.7095
3.557,3.5174
7.544,9.018
0.174,2.0431
5.276,6.3821
12.65,2.8783
5.839,4.1447
5.399,5.9642
6.975,5.7134
0.956,2.4396
9.798,4.3537
7.822,9.8446
6.796,4.6787
8.842,5.5592
4.768,7.0706
6.943,5.5182
12.78,3.5856
10.073,6.3347
4.933,7.0599
2.519,3.5802
7.879,9.8947
2.395,3.713
11.545,10.0454
6.638,3.8739
7.284,7.6176
3.346,2.9427
12.532,2.6498
7.735,9.6841
11.017,12.3734
1.79,3.6512
8.549,7.5024
11.76,8.1878
4.435,6.4961
6.735,4.3556
6.719,4.2739
11.325,11.5585
4.996,6.9992
5.957,3.6596
1.257,2.8906
8.628,6.9863
12.246,4.2326
4.012,5.0766
2.378,3.7268
3.805,4.3284
12.493,2.8291
7.315,7.8081
2.99,2.7916
2.817,3.1156
10.162,7.0673
8.324,8.8082
10.072,6.3246
12.145,4.9376
0.035,2.3123
8.363,8.6104
11.079,12.3548
7.566,9.1157
11.453,10.7502
11.897,6.9656
9.007,4.5327
8.617,7.056
9.627,3.3867
8.953,4.8586
5.883,3.9592
7.463,8.6303
7.664,9.4832
3.197,2.6093
5.039,6.9402
8.237,9.2083
3.2,2.6163
4.82,7.0904
2.87,3.0194
4.513,6.6922
12.654,2.8986
10.095,6.5099
13.073,5.7427
0.405,1.9716
2.929,2.9085
5.103,6.8273
7.204,7.129
13.913,13.8432
1.571,3.3782
8.594,7.2066
1.615,3.4397
4.667,6.9748
6.602,3.7071
9.116,3.9136
13.789,12.9423
5.208,6.5794
9.352,2.786
5.203,6.5936
12.842,3.9741
13.23,7.2219
9.654,3.5256
11.416,11.0043
10.493,9.8704
7.986,9.8691
0.982,2.4745
4.476,6.6045
7.063,6.2521
8.391,8.4538
8.054,9.7704
4.949,7.0474
0.029,2.3327
8.349,8.6812
12.716,3.2203
12.171,4.7505
7.494,8.7847
10.795,11.8293
7.859,9.8821
8.42,8.2935
5.968,3.6158
12.072,5.4947
0.386,1.9687
2.18,3.8281
7.095,6.4485
7.95,9.8951
2.555,3.5345
3.441,3.1866
0.101,2.1425
1.285,2.9342
0.478,1.9935
3.582,3.5932
2.011,3.8101
2.976,2.8175
11.974,6.2953
10.369,8.8433
4.478,6.6081
10.882,12.1506
0.372,1.9673
12.146,4.9329
2.515,3.5856
10.191,7.3149
11.01,12.3704
2.968,2.8335
6.721,4.2818
1.849,3.7072
13.789,12.9438
9.823,4.5128
6.206,2.7465
9.276,3.1135
9.893,4.9846
13.846,13.3872
4.117,5.4597
7.245,7.3817
0.554,2.0323
