x0,x1,y
0.36,3.8,0.4246
7.64,3.96,0.0319
9.0,6.81,-0.1108
0.58,8.76,-0.2779
8.89,7.61,-0.1594
1.6,4.39,-0.2834
8.17,3.34,0.1488
8.99,3.21,0.0555
5.27,8.26,0.0517
9.8,5.75,0.1128
4.02,9.95,-0.2552
9.86,1.67,0.1033
2.96,7.42,-0.2595
3.89,3.57,-0.2752
8.2,0.94,-0.1207
0.6,5.52,-0.3231
8.6,7.87,-0.1379
4.33,7.0,-0.133
8.84,3.66,-0.0822
5.5,7.24,0.2187
3.48,9.3,-0.0278
8.85,6.53,0.0167
4.67,3.76,-0.092
5.86,3.25,-0.048
9.09,2.09,0.1189
0.58,8.17,-0.3818
7.26,8.48,-0.1679
0.15,3.65,0.4178
4.2,2.89,-0.1427
7.6,8.0,-0.2056
3.67,6.83,-0.281
6.46,6.52,0.1351
2.6,1.8,-0.0267
6.99,5.53,-0.1531
6.59,8.74,-0.1938
9.21,1.5,-0.0622
9.22,0.16,-0.0225
7.83,2.14,-0.0907
2.24,8.52,0.1389
8.64,2.69,0.1903
3.31,6.92,-0.2885
5.77,0.66,0.1723
6.91,8.29,-0.2156
8.33,8.23,-0.0653
4.5,3.58,-0.2038
5.28,5.07,0.0721
3.8,5.68,0.1429
1.95,0.08,0.2889
1.99,9.64,0.2203
9.97,0.48,-0.1751
8.48,0.15,0.1163
3.02,2.87,0.1826
9.76,4.81,0.091
8.21,7.19,-0.1121
4.34,8.5,0.1615
0.6,0.01,0.2336
0.33,5.25,-0.4245
2.08,1.07,-0.2918
6.64,9.43,0.0798
0.89,6.2,0.2554
7.28,4.84,-0.1999
6.31,3.08,-0.0192
9.15,7.28,-0.1831
2.69,4.66,-0.1641
1.2,3.3,0.3682
5.28,9.65,-0.1306
7.95,5.78,0.1233
7.27,7.39,-0.015
6.54,0.54,0.216
1.51,1.87,-0.3027
5.3,7.22,0.1885
8.66,5.74,0.1833
1.8,4.19,-0.2346
6.38,6.13,-0.046
9.14,1.36,-0.1209
2.31,8.71,0.2471
1.01,9.56,0.363
0.64,7.19,0.2546
6.91,7.38,0.0709
7.87,5.15,-0.1269
5.81,1.42,0.1626
3.48,3.29,-0.171
1.45,6.29,0.3543
1.89,3.93,-0.1109
2.28,6.95,-0.1463
6.25,8.41,-0.2011
4.45,4.57,0.224
3.76,2.22,0.2625
2.56,9.56,0.0948
8.77,5.49,0.1497
9.41,9.46,-0.0115
2.73,0.55,-0.1941
6.59,9.45,0.0798
